file,prompt,name,alt,ar,position
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_31b63537-620d-4453-b3b0-f69c3e440201.png,ensalada de garbanzos,ensalada-de-garbanzos-con-tomate-y-huevo,"Ensalada de garbanzos con tomate, cebolla morada, pepino, perejil y huevo duro en un bowl",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_ca891c09-fa40-4d4e-b928-be2b330cfeaf.png,omelette de verduras,omelette-de-verduras-en-sarten,"Omelette de verduras con espinaca, tomate, morrón y queso derretido en una sartén de hierro",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_884f22c0-8ac5-4c99-b827-84d4c641c0d5.png,queso cottage casero,queso-cottage-casero-escurriendo,"Queso cottage casero escurriendo en un lienzo sobre un bowl, con leche y limones al lado",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_cfa25079-e704-4fe6-bae7-2f2409af75a8.png,carne magra,cortes-de-carne-magra-cuadrada-nalga,"Cortes de carne vacuna magra sobre una tabla de carnicero: cuadrada, bola de lomo y nalga",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_b23dacad-62e7-4e11-bd93-ec406cb93836.png,hamburguesas para eventos,hamburguesas-para-eventos-estacion-catering,"Estación de hamburguesas para un evento con medallones a la plancha, queso, lechuga y tomate",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_0515bfa1-2730-4ab0-984a-c75108b1dbcd.png,lechon al horno,lechon-al-horno-entero-fiesta,"Lechón entero al horno con cuero dorado y crocante en una fuente, con sopa paraguaya y mandioca",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_401263fd-6b4d-4f62-9235-0a4244e060b4.png,tomahawk,tomahawk-a-la-parrilla-cortado,"Bife tomahawk a la parrilla con su hueso largo, cortado y rosado por dentro, con sal gruesa",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_316069fd-bd82-46eb-9672-9b327d98d3df.png,suprema rellena,suprema-de-pollo-rellena-en-rodajas,"Suprema de pollo rellena de jamón, queso y espinaca cortada en rodajas con puré de papas",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_1561bb82-b7ed-4f6a-b7d8-8d80c5c10acc.png,colita de cuadril,colita-de-cuadril-a-la-parrilla,"Colita de cuadril a la parrilla con marcas de brasa, una pieza cortada rosada y chimichurri",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_bb4a2cd1-6f35-465f-ab7e-04721469ffb9.png,matambre arrollado,matambre-arrollado-en-rodajas,"Matambre arrollado cortado en rodajas con relleno de huevo, zanahoria y morrón, con ensalada rusa",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_433ac80a-9384-41fb-995f-14f5340f7ae7.png,garron osobuco,garron-osobuco-guisado-en-cazuela,"Garrón en rodajas con su hueso y médula, guisado en salsa de tomate en una cazuela de barro",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_59300102-c96b-4c83-9910-ed5e270e7158.png,pernil de cerdo,pernil-de-cerdo-al-horno-fiesta,"Pernil de cerdo al horno glaseado y en parte feteado sobre una mesa de fin de año con pan",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_9929dcfe-c2de-4e56-a36f-402bad2377a4.png,alitas al horno,alitas-de-pollo-al-horno-crocantes,"Alitas de pollo al horno doradas y crocantes en una bandeja con lima y salsa para mojar",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_412359f5-abe1-41fa-bbb9-14ae08744083.png,pacu a la parrilla,pacu-a-la-parrilla-abierto,"Pacú entero abierto a la parrilla, dorado sobre las brasas, con salsa criolla y limón",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051917_a2dda4e5-a613-43da-8600-b43cb0239f21.png,dorado al horno,dorado-al-horno-con-papas,"Dorado entero al horno en una asadera con papas, tomate, cebolla, limón y perejil",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_0b3311f4-ed73-4478-9382-11692c51afd1.png,costillas bbq,costillas-de-cerdo-a-la-barbacoa,"Costillas de cerdo con salsa barbacoa brillante, cortadas en una tabla con mandioca frita",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051942_8c08a815-0a12-40d6-b8d2-a819d146c195.png,pizza para eventos,pizza-para-eventos-mesa-catering,"Pizzas recién horneadas cortadas en porciones sobre tablas en una mesa de evento con horno móvil",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_a71fb264-4617-4a5a-a228-20376b766ce9.png,asado de tira,asado-de-tira-en-la-parrilla,"Tiras de asado de tira dorándose sobre la parrilla a carbón mientras una mano las da vuelta",4:3,
